Kategorie,OriginalPath,Modell,EditType,InstructionOrPrompt,Seed,OutputPath
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_112.jpg,stable_diffusion_15_imag2img,img2img,neutral portrait under soft daylight,140224506,human_manipulated_stable_diffusion_15_imag2img_neutral-portrait-under-soft-daylight_140224506.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_486.jpg,stable_diffusion_15_imag2img,img2img,neutral portrait under soft daylight,915281774,human_manipulated_stable_diffusion_15_imag2img_neutral-portrait-under-soft-daylight_915281774.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_649.jpg,stable_diffusion_15_imag2img,img2img,neutral portrait under soft daylight,846434608,human_manipulated_stable_diffusion_15_imag2img_neutral-portrait-under-soft-daylight_846434608.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_834.jpg,stable_diffusion_15_imag2img,img2img,neutral portrait under soft daylight,960091256,human_manipulated_stable_diffusion_15_imag2img_neutral-portrait-under-soft-daylight_960091256.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_214.jpg,stable_diffusion_15_imag2img,img2img,neutral portrait under soft daylight,818464026,human_manipulated_stable_diffusion_15_imag2img_neutral-portrait-under-soft-daylight_818464026.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_676.jpg,stable_diffusion_15_imag2img,img2img,neutral portrait under soft daylight,49330845,human_manipulated_stable_diffusion_15_imag2img_neutral-portrait-under-soft-daylight_49330845.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_870.jpg,stable_diffusion_15_imag2img,img2img,neutral portrait under soft daylight,672355142,human_manipulated_stable_diffusion_15_imag2img_neutral-portrait-under-soft-daylight_672355142.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_352.jpg,stable_diffusion_15_imag2img,img2img,portrait with strong contrast lighting,17481971,human_manipulated_stable_diffusion_15_imag2img_portrait-with-strong-contrast-lighting_17481971.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_87.jpg,stable_diffusion_15_imag2img,img2img,portrait with strong contrast lighting,997970945,human_manipulated_stable_diffusion_15_imag2img_portrait-with-strong-contrast-lighting_997970945.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_461.jpg,stable_diffusion_15_imag2img,img2img,portrait with strong contrast lighting,473827183,human_manipulated_stable_diffusion_15_imag2img_portrait-with-strong-contrast-lighting_473827183.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_810.jpg,stable_diffusion_15_imag2img,img2img,portrait with strong contrast lighting,725769,human_manipulated_stable_diffusion_15_imag2img_portrait-with-strong-contrast-lighting_725769.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_534.jpg,stable_diffusion_15_imag2img,img2img,portrait with strong contrast lighting,217237516,human_manipulated_stable_diffusion_15_imag2img_portrait-with-strong-contrast-lighting_217237516.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_795.jpg,stable_diffusion_15_imag2img,img2img,portrait with strong contrast lighting,947198945,human_manipulated_stable_diffusion_15_imag2img_portrait-with-strong-contrast-lighting_947198945.jpg
human,C:\Users\sophi\projekte\GitHub\Masterarbeit\images\known\human\realistic\celeba\celeba_58.jpg,stable_diffusion_15_imag2img,img2img,portrait with strong contrast lighting,324125622,human_manipulated_stable_diffusion_15_imag2img_portrait-with-strong-contrast-lighting_324125622.jpg
