img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-electricity-pole_612625051_jpeg.jpg,1,1,0.7991,0.9988,1.0000,0.9995,0.2310,0.8381,0.7274,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_dreamlike_photoreal_20_mosque-with-detailed-minarets-photographed-at-sunset_654436821_jpeg.jpg,1,1,0.6620,0.9987,0.8961,0.9999,0.0784,0.0001,0.9989,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_1087_jpeg.jpg,0,0,0.0541,0.0000,0.2296,0.0452,0.0003,0.0067,0.0427,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_synthetic_dreamlike_photoreal_20_autumn-forest-with-colorful-leaves-path-covered-in-foliage_661051533_jpeg.jpg,1,1,0.6789,1.0000,0.9997,0.9987,0.0744,0.0008,0.9999,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\celeba_513_jpeg.jpg,0,0,0.1194,0.0000,0.1808,0.0273,0.4870,0.0202,0.0009,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_379_jpeg.jpg,0,1,0.5849,0.9999,0.9670,0.9922,0.5385,0.0006,0.0112,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_snowy-mountain-slope_729835593_jpeg.jpg,1,1,0.5642,0.9998,0.9979,0.9972,0.0041,0.3749,0.0113,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\celeba_453_jpeg.jpg,0,0,0.1521,0.0000,0.0007,0.0008,0.5044,0.4069,0.0002,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_1942_jpeg.jpg,0,0,0.4390,0.9837,0.6288,0.7889,0.0038,0.0009,0.2277,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_2_manipulated_stable_diffusion_2_inpainting_add-wireless-headphones_578658816_jpeg.jpg,1,1,0.6320,0.9996,0.9945,1.0000,0.3696,0.3382,0.0898,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_643_jpeg.jpg,0,0,0.3361,0.0105,0.9476,0.9031,0.0101,0.1400,0.0052,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_dreamlike_photoreal_20_colorful-houses-along-a-canal-daytime_261704065_jpeg.jpg,1,1,0.7040,1.0000,1.0000,0.9986,0.2206,0.0046,0.9999,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_2_manipulated_stable_diffusion_inpainting_add-bluetooth-earpiece_462114583_jpeg.jpg,1,1,0.6938,1.0000,0.9997,1.0000,0.2041,0.0033,0.9558,,,,,,
