img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_289_noisy.jpg,0,0,0.0747,0.0004,0.0002,0.0016,0.0035,0.4098,0.0328,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_93_noisy.jpg,0,0,0.0059,0.0001,0.0186,0.0017,0.0000,0.0001,0.0150,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_585_noisy.jpg,0,0,0.1471,0.2540,0.0055,0.0998,0.0015,0.0050,0.5166,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1136_noisy.jpg,0,0,0.1677,0.0001,0.0079,0.0292,0.2120,0.1193,0.6380,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_17_noisy.jpg,0,0,0.1915,0.2598,0.0149,0.1054,0.6291,0.1379,0.0020,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-road-sign_769465944_noisy.jpg,1,0,0.0368,0.0007,0.0303,0.1548,0.0074,0.0146,0.0129,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-electricity-pole_264115902_noisy.jpg,1,0,0.0687,0.0950,0.0890,0.1645,0.0096,0.0350,0.0189,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_454_noisy.jpg,0,0,0.0571,0.0718,0.0058,0.0199,0.1656,0.0788,0.0004,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_15_imag2img_skyscraper-under-blue-sky_283614548_noisy.jpg,1,0,0.0686,0.0468,0.0016,0.0195,0.0000,0.0014,0.3426,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_synthetic_stable_diffusion_15_modern-museum-building-with-geometric-shapes_681057737_noisy.jpg,1,0,0.2676,0.0781,0.0253,0.6567,0.0033,0.0027,0.8393,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_269_noisy.jpg,0,0,0.2776,0.0550,0.0010,0.0073,0.8571,0.7444,0.0009,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_manipulated_stable_diffusion_inpainting_add-stud-earrings_121517072_noisy.jpg,1,0,0.2085,0.1224,0.7463,0.2666,0.0070,0.0874,0.0214,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_538_noisy.jpg,0,0,0.0182,0.0001,0.0000,0.0002,0.0101,0.0000,0.0985,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_852_noisy.jpg,0,0,0.1671,0.0199,0.0001,0.0006,0.0743,0.8971,0.0107,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1309_noisy.jpg,0,0,0.1232,0.0001,0.0005,0.0326,0.0222,0.6064,0.0778,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_29_noisy.jpg,0,0,0.0342,0.0000,0.0007,0.0225,0.1046,0.0002,0.0770,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-bench-near-path_834718476_noisy.jpg,1,0,0.3580,0.9285,0.0097,0.7422,0.0044,0.0093,0.4536,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_578_noisy.jpg,0,0,0.1336,0.0000,0.0049,0.0215,0.7598,0.0128,0.0027,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_desert-under-bright-sun_505234799_noisy.jpg,1,0,0.3277,0.0017,0.5295,0.5019,0.0316,0.8889,0.0125,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_dreamlike_photoreal_20_close-up-of-a-young-child-with-face-paint-festival-backgroun_681594898_noisy.jpg,1,1,0.7052,1.0000,0.9782,0.9999,0.0429,0.2141,0.9963,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1406_noisy.jpg,0,1,0.5775,0.9998,0.9247,0.8254,0.6412,0.0173,0.0564,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1210_noisy.jpg,0,0,0.0260,0.0000,0.0049,0.0024,0.0000,0.0349,0.1137,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_905_noisy.jpg,0,0,0.0071,0.0000,0.0079,0.0017,0.0014,0.0004,0.0310,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_synthetic_stable_diffusion_15_modern-luxury-villa-with-swimming-pool-daylight_666430219_noisy.jpg,1,0,0.2281,0.0667,0.0240,0.3033,0.0004,0.0113,0.9631,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_2071_noisy.jpg,0,0,0.1409,0.0000,0.0007,0.0000,0.0230,0.7947,0.0273,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_507_noisy.jpg,0,0,0.1281,0.0008,0.0177,0.1740,0.1260,0.4447,0.0054,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_185_noisy.jpg,0,0,0.0118,0.0093,0.0010,0.0014,0.0001,0.0000,0.0587,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_dreamlike_photoreal_20_autumn-forest-with-colorful-leaves-path-covered-in-foliage_106323671_noisy.jpg,1,1,0.6247,1.0000,0.7554,0.9373,0.0158,0.0851,0.9543,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_388_noisy.jpg,0,0,0.1432,0.0034,0.0002,0.0019,0.2373,0.6126,0.0039,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_73_noisy.jpg,0,0,0.0229,0.0753,0.0021,0.0123,0.0000,0.0461,0.0015,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1859_noisy.jpg,0,0,0.1380,0.0000,0.2612,0.0045,0.2078,0.3530,0.0013,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1292_noisy.jpg,0,0,0.0493,0.0000,0.0045,0.0764,0.0006,0.2119,0.0025,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_synthetic_dreamlike_photoreal_20_colorful-houses-along-a-canal-daytime_261704065_noisy.jpg,1,1,0.6625,1.0000,0.7435,0.9803,0.1833,0.0681,0.9999,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_874_noisy.jpg,0,0,0.2652,0.8616,0.0034,0.0018,0.0679,0.0034,0.6532,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_manipulated_stable_diffusion_15_imag2img_portrait-illuminated-by-laptop-screen_161669422_noisy.jpg,1,1,0.6315,0.9885,0.6329,0.9903,0.4006,0.7647,0.0119,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_937_noisy.jpg,0,0,0.1799,0.0077,0.0005,0.0020,0.8430,0.2255,0.0006,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1952_noisy.jpg,0,0,0.0443,0.0000,0.0013,0.0000,0.0001,0.0000,0.2641,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_727_noisy.jpg,0,0,0.1107,0.0008,0.0016,0.0887,0.4153,0.1130,0.0450,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1413_noisy.jpg,0,0,0.2174,0.0038,0.0067,0.0009,0.2906,0.9126,0.0897,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_380_noisy.jpg,0,0,0.2045,0.9409,0.0273,0.1611,0.0001,0.0831,0.0143,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_2_inpainting_add-traffic-sign_621269690_noisy.jpg,1,0,0.0657,0.0245,0.0003,0.0013,0.0008,0.0270,0.3403,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_15_noisy.jpg,0,0,0.1308,0.0000,0.0005,0.0157,0.3434,0.4249,0.0005,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_697_noisy.jpg,0,0,0.0675,0.0000,0.0003,0.0017,0.2526,0.1496,0.0007,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_stable_diffusion_15_rolling-vineyards-in-summer-mediterranean-style_572030855_noisy.jpg,1,1,0.8105,1.0000,0.9875,0.9996,0.2817,0.5951,0.9993,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1876_noisy.jpg,0,0,0.0722,0.0000,0.0059,0.1262,0.0693,0.2302,0.0018,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_dreamlike_photoreal_20_portrait-of-a-middle-aged-hispanic-man-short-hair-warm-tone-_192673893_noisy.jpg,1,1,0.5777,1.0000,0.5566,0.9659,0.0154,0.0394,0.8888,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_2_inpainting_add-small-balcony_135078507_noisy.jpg,1,0,0.2055,0.1926,0.0244,0.0266,0.0022,0.0001,0.9871,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_2_manipulated_stable_diffusion_2_inpainting_add-scar-on-forehead_901625823_noisy.jpg,1,0,0.0492,0.0000,0.0037,0.2032,0.0235,0.0345,0.0302,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_2_manipulated_stable_diffusion_15_imag2img_portrait-outdoors-with-blurred-city-lights_617361057_noisy.jpg,1,0,0.2515,0.6799,0.4580,0.3427,0.0021,0.0001,0.0262,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_inpainting_add-railing-on-stairs_974477733_noisy.jpg,1,0,0.0583,0.1406,0.0073,0.0003,0.0014,0.0049,0.1953,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1577_noisy.jpg,0,0,0.0059,0.0000,0.0005,0.0028,0.0005,0.0148,0.0166,,,,,,
