img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test_scaled\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_foggy-forest_343152573_scaled.jpg,1,1,0.9995,0.9997,1.0000,0.9970,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-small-barn_957038279_scaled.jpg,1,1,0.8910,0.8656,1.0000,0.8792,0.9397,0.9953,0.6661,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\building_synthetic_juggernaut_xl_v9_classic-new-york-brownstone-street-autumn-leaves_551208306_scaled.jpg,1,1,0.9245,0.9993,0.9073,0.9642,1.0000,1.0000,0.6764,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\celeba_707_scaled.jpg,0,0,0.0002,0.0000,0.0007,0.0006,0.0001,0.0000,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\building_synthetic_dreamlike_photoreal_20_colorful-houses-along-a-canal-daytime_261704065_scaled.jpg,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\building_synthetic_juggernaut_xl_v9_small-countryside-church-with-stone-walls_171784436_scaled.jpg,1,1,0.9870,1.0000,1.0000,0.9988,1.0000,1.0000,0.9233,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\building_manipulated_stable_diffusion_15_imag2img_building-in-urban-street-view_608375598_scaled.jpg,1,1,0.9991,0.9967,1.0000,0.9982,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\human_synthetic_stable_diffusion_15_photo-of-a-young-boy-with-curly-hair-smiling-outdoors-in-the_239670712_scaled.jpg,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\celeba_397_scaled.jpg,0,0,0.0003,0.0000,0.0010,0.0009,0.0002,0.0000,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\lhq_1136_scaled.jpg,0,1,0.6082,0.9584,0.6320,0.0476,0.4133,0.7609,0.8372,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\human_manipulated_stable_diffusion_inpainting_add-nose-piercing_944284574_scaled.jpg,1,1,0.9594,0.9999,1.0000,0.7776,0.9795,0.9996,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\human_synthetic_dreamlike_photoreal_20_photo-of-a-middle-aged-man-with-a-beard-wearing-a-suit-outdo_266493009_scaled.jpg,1,1,1.0000,1.0000,1.0000,1.0000,0.9999,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\lhq_1143_scaled.jpg,0,0,0.2360,0.5719,0.0656,0.0000,0.7235,0.0547,0.0002,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\faceforensics_606_scaled.jpg,0,0,0.3251,0.9674,0.9273,0.0001,0.0433,0.0000,0.0128,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\celeba_448_scaled.jpg,0,0,0.0003,0.0001,0.0008,0.0006,0.0002,0.0000,0.0001,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\lhq_379_scaled.jpg,0,1,0.9826,0.9931,0.9565,0.9675,0.9868,0.9994,0.9923,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\landscape_synthetic_dreamlike_photoreal_20_vast-tundra-under-cloudy-sky-lonely-feeling_644685430_scaled.jpg,1,1,0.9966,0.9998,0.9991,0.9995,0.9997,0.9999,0.9818,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\celeba_697_scaled.jpg,0,0,0.0015,0.0001,0.0010,0.0069,0.0009,0.0001,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\lhq_727_scaled.jpg,0,1,0.6801,0.9784,0.6915,0.9217,0.5175,0.5001,0.4717,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_spring-scene-with-green-leaves_764369270_scaled.jpg,1,1,0.9967,0.9998,0.9915,0.9983,0.9990,0.9968,0.9949,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\building_manipulated_stable_diffusion_15_imag2img_building-with-overexposed-light_505672756_scaled.jpg,1,1,0.9991,0.9991,1.0000,0.9956,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\architecture_905_scaled.jpg,0,0,0.3929,0.0001,0.0004,0.0064,0.6744,0.7466,0.9294,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\human_synthetic_stable_diffusion_15_portrait-of-a-young-indigenous-woman-in-traditional-clothing_91969691_scaled.jpg,1,1,0.9999,1.0000,1.0000,1.0000,0.9995,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\faceforensics_265_scaled.jpg,0,0,0.1314,0.6166,0.0008,0.0248,0.0000,0.0022,0.1438,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\0_real\architecture_1642_scaled.jpg,0,0,0.4435,0.0002,0.0227,0.0082,0.7588,0.9874,0.8837,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\building_synthetic_dreamlike_photoreal_20_old-european-train-station-with-glass-roof_891246047_scaled.jpg,1,1,0.9975,1.0000,0.9881,0.9980,0.9997,1.0000,0.9993,,,,,,
data/test/meta_classifier_train_data/known_test_scaled\1_fake\building_synthetic_juggernaut_xl_v9_suburban-residential-street-with-family-houses_308034407_scaled.jpg,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,
