img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test\1_fake\building_synthetic_juggernaut_xl_v9_suburban-residential-street-with-family-houses_308034407.jpg,1,1,0.9996,1.0000,0.9989,0.9990,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\landscape_synthetic_dreamlike_photoreal_20_lush-jungle-waterfall-spray-in-the-air_866747348.jpg,1,1,0.9922,0.9997,0.9997,0.9539,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_synthetic_dreamlike_photoreal_20_old-European-cathedral-with-gothic-details-daylight_812224655.jpg,1,1,0.8860,0.9999,0.3201,0.9958,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\faceforensics_98.jpg,0,0,0.3275,0.0000,1.0000,0.9649,0.0004,0.0000,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_manipulated_stable_diffusion_15_imag2img_brick-building-in-golden-hour_850234434.jpg,1,1,0.7639,1.0000,0.5764,0.0784,0.9457,1.0000,0.9826,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_manipulated_stable_diffusion_inpainting_add-car-parked-in-front_451501134.jpg,1,1,0.7077,0.8396,0.5027,0.9213,0.9999,0.0000,0.9827,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-electricity-pole_264115902.jpg,1,1,0.9950,0.9941,0.9932,0.9831,0.9998,0.9999,0.9998,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_autumn-scene-with-colorful-trees_719679948.jpg,1,1,0.8425,0.6073,0.8649,0.7092,0.9799,1.0000,0.8940,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\human_synthetic_juggernaut_xl_v9_photo-of-a-diverse-group-of-five-people-posing-outdoors-wide_147709680.jpg,1,1,0.7691,0.2948,0.9980,0.3318,1.0000,0.9908,0.9994,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_manipulated_stable_diffusion_inpainting_add-car-parked-in-front_555845817.jpg,1,1,0.8399,0.9999,0.7944,0.2502,0.9953,1.0000,0.9996,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\celeba_397.jpg,0,0,0.3291,0.0075,0.9950,0.9717,0.0002,0.0000,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\lhq_643.png,0,0,0.3356,0.9787,0.1414,0.7979,0.0031,0.0000,0.0927,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\architecture_1784.JPG,0,0,0.1056,0.5725,0.0059,0.0005,0.0543,0.0000,0.0003,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\faceforensics_483.jpg,0,0,0.4331,0.0134,0.9994,0.5396,0.0539,0.9691,0.0229,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_synthetic_juggernaut_xl_v9_ancient-Roman-amphitheater-ruins_686624944.jpg,1,1,0.9223,0.7536,0.7977,0.9825,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_synthetic_dreamlike_photoreal_20_traditional-Chinese-pagoda-surrounded-by-trees_269108476.jpg,1,1,0.8927,0.3918,0.9648,0.9995,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-airplane-in-sky_144225975.jpg,1,1,0.8856,0.9268,0.9903,0.9934,0.9926,1.0000,0.4106,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\faceforensics_843.jpg,0,0,0.3094,0.0007,0.9997,0.7933,0.0621,0.0001,0.0003,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\architecture_1944.jpg,0,0,0.2860,0.6924,0.4025,0.3133,0.0078,0.0000,0.2997,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\celeba_709.jpg,0,0,0.3322,0.0000,0.9996,0.8048,0.0001,0.1887,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-flock-of-birds_399017273.jpg,1,1,0.8314,0.0013,0.9996,0.9891,1.0000,0.9994,0.9989,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\human_manipulated_stable_diffusion_15_imag2img_portrait-at-dusk-natural-backlight_147241458.jpg,1,1,0.9917,1.0000,0.9986,0.9519,0.9999,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-electricity-pole_612625051.jpg,1,1,0.9951,1.0000,0.9791,0.9942,1.0000,1.0000,0.9974,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_manipulated_stable_diffusion_15_imag2img_building-with-neon-signs_130409445.jpg,1,1,0.7751,0.9436,0.8561,0.6716,0.6188,0.5663,0.9942,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_manipulated_stable_diffusion_inpainting_add-tree-shadow-on-wall_456195627.jpg,1,1,0.8171,0.9910,0.3913,0.9584,0.5621,0.9996,0.9999,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\human_2_manipulated_stable_diffusion_2_inpainting_add-wireless-headphones_717850307.jpg,1,1,0.9064,1.0000,0.9998,0.4402,1.0000,0.9985,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\faceforensics_950.jpg,0,0,0.3097,0.0007,0.9956,0.8616,0.0005,0.0000,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\lhq_1791.png,0,0,0.4726,0.9705,0.0115,0.8869,0.0012,0.0000,0.9652,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_manipulated_stable_diffusion_inpainting_add-open-window_901371869.jpg,1,1,0.9532,0.8329,0.9773,0.9841,0.9253,1.0000,0.9997,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_synthetic_juggernaut_xl_v9_traditional-Japanese-wooden-house-garden-with-lanterns_772649235.jpg,1,1,0.9781,0.9982,0.8783,0.9924,0.9999,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\0_real\architecture_1577.jpg,0,0,0.0518,0.2940,0.0052,0.0039,0.0068,0.0000,0.0007,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_synthetic_stable_diffusion_15_ancient-Roman-amphitheater-ruins_468213198.jpg,1,1,0.9696,0.8821,0.9563,0.9983,0.9810,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test\1_fake\building_synthetic_dreamlike_photoreal_20_colorful-colonial-houses-in-Latin-America_442437193.jpg,1,1,0.9547,1.0000,0.9333,0.9993,0.7960,1.0000,0.9998,,,,,,
