img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_647_jpeg.jpg,0,0,0.0723,0.3223,0.0202,0.0555,0.0355,0.0000,0.0003,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_juggernaut_xl_v9_futuristic-office-tower-with-curved-glass-blue-sky_876928441_jpeg.jpg,1,1,0.9298,0.9995,0.6197,0.9961,0.9986,1.0000,0.9652,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-bicycle-on-path_647305492_jpeg.jpg,1,1,0.9825,0.9985,0.9961,0.9597,0.9979,1.0000,0.9427,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_1771_jpeg.jpg,0,0,0.4927,0.2540,0.8918,0.4152,0.3943,1.0000,0.0011,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_synthetic_juggernaut_xl_v9_portrait-of-an-elderly-black-man-with-gray-beard-warm-indoor_122210618_jpeg.jpg,1,1,0.8998,1.0000,0.7917,0.6075,0.9999,1.0000,0.9999,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_2_manipulated_stable_diffusion_inpainting_add-lip-piercing_335192628_jpeg.jpg,1,1,0.9931,1.0000,1.0000,0.9593,1.0000,0.9996,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_624_jpeg.jpg,0,1,0.6230,0.3684,0.6113,0.9540,0.9627,0.0063,0.8351,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_manipulated_stable_diffusion_inpainting_add-headset-on-ears_778058057_jpeg.jpg,1,1,0.9011,1.0000,0.9989,0.4076,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_1234_jpeg.jpg,0,0,0.2736,0.8233,0.4695,0.0752,0.1319,0.1280,0.0136,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_84_jpeg.jpg,0,1,0.5334,0.8699,0.3348,0.7909,0.9989,0.2045,0.0012,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_synthetic_dreamlike_photoreal_20_grassland-with-grazing-animals-cloudy-sky_976783825_jpeg.jpg,1,1,0.9598,1.0000,1.0000,0.7596,0.9996,1.0000,0.9999,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_1791_jpeg.jpg,0,1,0.8111,0.9882,0.8273,0.9392,0.9998,0.1375,0.9749,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\faceforensics_1050_jpeg.jpg,0,1,0.5580,0.0016,1.0000,0.7434,0.9999,0.5790,0.0239,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-picnic-table_712713680_jpeg.jpg,1,1,0.8378,0.2615,0.9996,0.9865,0.9627,0.9681,0.8485,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\celeba_513_jpeg.jpg,0,0,0.4349,0.0001,0.9989,0.6617,0.0000,0.9485,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_1228_jpeg.jpg,0,1,0.7745,0.9987,0.9490,0.9342,0.0031,0.7906,0.9713,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_1554_jpeg.jpg,0,1,0.5075,0.9347,0.9696,0.9799,0.1362,0.0000,0.0247,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_1944_jpeg.jpg,0,1,0.9249,0.9934,0.9947,0.9982,0.9313,0.8962,0.7358,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-road-sign_769465944_jpeg.jpg,1,1,0.9864,0.9961,1.0000,0.9259,1.0000,1.0000,0.9963,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_synthetic_dreamlike_photoreal_20_photo-of-a-middle-aged-man-with-a-beard-wearing-a-suit-outdo_266493009_jpeg.jpg,1,1,0.9263,1.0000,0.9996,0.5583,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_snowy-mountain-slope_729835593_jpeg.jpg,1,1,0.7696,0.9997,1.0000,0.9697,0.9563,0.0259,0.6661,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_juggernaut_xl_v9_mosque-with-detailed-minarets-photographed-at-sunset_891617661_jpeg.jpg,1,1,0.9638,0.9810,0.8179,0.9847,1.0000,1.0000,0.9995,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_1136_jpeg.jpg,0,1,0.6181,0.9993,0.8905,0.8068,0.9998,0.0023,0.0099,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\celeba_970_jpeg.jpg,0,0,0.2921,0.0000,1.0000,0.7395,0.0130,0.0000,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_stable_diffusion_15_snow-covered-alpine-chalet-with-warm-lights-inside_840081099_jpeg.jpg,1,1,0.9998,1.0000,0.9994,0.9994,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-bench-near-path_834718476_jpeg.jpg,1,1,0.9475,0.9998,0.9998,0.9934,1.0000,1.0000,0.6922,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_manipulated_stable_diffusion_15_imag2img_portrait-at-dusk-natural-backlight_147241458_jpeg.jpg,1,1,0.9949,1.0000,0.9997,0.9696,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_synthetic_juggernaut_xl_v9_desert-dunes-under-clear-blue-sky-detailed-sand-textures_697460536_jpeg.jpg,1,1,0.8018,0.3762,0.9829,0.4833,0.9992,0.9693,0.9999,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_1483_jpeg.jpg,0,0,0.3804,0.5311,0.0289,0.8712,0.8510,0.0001,0.0002,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_synthetic_juggernaut_xl_v9_desert-plateau-with-cacti-midday-sun_54267348_jpeg.jpg,1,1,0.9076,1.0000,0.9979,0.4640,0.9987,0.9976,0.9872,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_2_manipulated_stable_diffusion_inpainting_add-mustache_246606809_jpeg.jpg,1,1,0.9970,1.0000,1.0000,0.9818,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_2033_jpeg.jpg,0,0,0.0195,0.0089,0.0073,0.1005,0.0000,0.0000,0.0001,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_592_jpeg.jpg,0,1,0.7844,0.9496,0.6886,0.9727,0.1179,0.9986,0.9791,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-wind-turbine_472261484_jpeg.jpg,1,1,0.7057,0.0401,0.9999,0.9425,0.9999,1.0000,0.2519,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_398_jpeg.jpg,0,1,0.5232,0.9674,0.1645,0.9867,0.9949,0.0000,0.0260,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_manipulated_stable_diffusion_2_inpainting_add-fire-hydrant_846594625_jpeg.jpg,1,0,0.4346,0.0022,0.8369,0.8653,0.6320,0.2194,0.0516,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\faceforensics_486_jpeg.jpg,0,1,0.6787,0.2519,1.0000,0.9884,1.0000,0.0000,0.8318,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_synthetic_juggernaut_xl_v9_photo-of-a-middle-aged-man-with-a-beard-wearing-a-suit-outdo_605306364_jpeg.jpg,1,1,0.9091,1.0000,0.8822,0.5724,1.0000,1.0000,0.9999,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\celeba_857_jpeg.jpg,0,0,0.2872,0.0000,0.9999,0.7235,0.0000,0.0000,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_2_manipulated_stable_diffusion_2_inpainting_add-headscarf_113182100_jpeg.jpg,1,1,0.9645,1.0000,1.0000,0.9318,1.0000,0.8703,0.9846,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-fox-in-forest_525016112_jpeg.jpg,1,1,0.9164,1.0000,0.9987,0.8079,1.0000,0.9999,0.6917,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_2000_jpeg.jpg,0,1,0.5013,0.0322,0.9983,0.8850,0.0160,1.0000,0.0760,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_1821_jpeg.jpg,0,1,0.7232,0.5876,0.9872,0.7590,0.9988,1.0000,0.0068,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_manipulated_stable_diffusion_15_imag2img_building-under-cloudy-sky_752398389_jpeg.jpg,1,1,0.7938,0.7761,0.9999,0.9872,1.0000,0.0005,0.9993,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-dog-near-path_110977390_jpeg.jpg,1,1,0.7253,0.9997,0.9817,0.7657,0.5663,1.0000,0.0386,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_manipulated_stable_diffusion_15_imag2img_office-tower-at-dusk_450149968_jpeg.jpg,1,1,0.7678,1.0000,0.9999,0.9981,0.4287,0.3716,0.8083,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\celeba_313_jpeg.jpg,0,0,0.2913,0.0000,1.0000,0.7475,0.0000,0.0002,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_195_jpeg.jpg,0,0,0.2590,0.2864,0.0529,0.2212,0.9911,0.0000,0.0024,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_manipulated_stable_diffusion_inpainting_add-open-window_901371869_jpeg.jpg,1,1,0.8622,0.4637,0.9958,0.9991,0.7198,0.9984,0.9965,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_1210_jpeg.jpg,0,1,0.5681,0.9981,0.9525,0.2862,0.1699,0.9990,0.0032,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_synthetic_juggernaut_xl_v9_photo-of-an-elderly-east-asian-woman-with-wrinkles-natural-d_348717184_jpeg.jpg,1,1,0.9122,1.0000,0.7155,0.7576,1.0000,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_dreamlike_photoreal_20_modern-glass-skyscraper-in-city-center-photographed-at-dusk_201415221_jpeg.jpg,1,1,0.9911,0.9929,0.9917,0.9626,0.9994,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_379_jpeg.jpg,0,1,0.6788,0.1662,0.9976,0.7963,0.9701,0.9981,0.1444,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_stable_diffusion_15_ancient-roman-amphitheater-ruins_413600441_jpeg.jpg,1,1,0.9912,0.9505,0.9991,0.9999,0.9974,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_1231_jpeg.jpg,0,0,0.4693,0.0497,0.0714,0.6845,0.9998,0.9964,0.0139,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_1950_jpeg.jpg,0,0,0.4374,0.9998,0.0028,0.4606,0.9990,0.0003,0.1616,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_synthetic_stable_diffusion_15_desert-plateau-with-cacti-midday-sun_122824733_jpeg.jpg,1,1,0.9959,0.9996,1.0000,0.9991,0.9768,1.0000,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\celeba_709_jpeg.jpg,0,0,0.3118,0.0000,1.0000,0.8705,0.0000,0.0001,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\celeba_965_jpeg.jpg,0,0,0.3108,0.0000,0.9997,0.8651,0.0000,0.0000,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_538_jpeg.jpg,0,1,0.5396,0.4595,0.8317,0.8791,0.2663,0.7960,0.0049,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-electricity-pole_264115902_jpeg.jpg,1,1,0.9989,0.9998,1.0000,0.9963,0.9998,1.0000,0.9973,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_manipulated_stable_diffusion_inpainting_add-fire-hydrant_171597259_jpeg.jpg,1,1,0.9930,0.9643,0.9987,0.9999,1.0000,0.9949,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_83_jpeg.jpg,0,0,0.2832,0.9919,0.0002,0.1170,0.5899,0.0000,0.0002,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\celeba_872_jpeg.jpg,0,0,0.2780,0.0000,1.0000,0.6679,0.0000,0.0000,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_581_jpeg.jpg,0,1,0.8059,0.0012,0.9925,0.9981,0.9259,0.9223,0.9953,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_manipulated_stable_diffusion_2_inpainting_add-traffic-sign_621269690_jpeg.jpg,1,1,0.7172,0.4305,0.5136,0.8657,0.7374,1.0000,0.7559,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_1773_jpeg.jpg,0,1,0.5419,0.0274,0.9849,0.6438,0.4649,0.1353,0.9953,,,,,,
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_1239_jpeg.jpg,0,0,0.4514,0.9685,0.0000,0.7154,0.9744,0.0364,0.0138,,,,,,
