img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_2_manipulated_stable_diffusion_2_inpainting_add-wireless-headphones_717850307_noisy.jpg,1,1,0.8012,1.0000,0.9040,0.0675,0.8364,1.0000,0.9996,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_stable_diffusion_15_desert-dunes-under-clear-blue-sky-detailed-sand-textures_308071260_noisy.jpg,1,0,0.3146,0.9695,0.2420,0.2052,0.0018,0.4365,0.0328,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_synthetic_dreamlike_photoreal_20_modern-glass-skyscraper-in-city-center-photographed-at-dusk_201415221_noisy.jpg,1,0,0.4762,0.9997,0.0024,0.1779,0.0010,0.6778,0.9982,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_meadow-with-flowers-sunny_183086167_noisy.jpg,1,0,0.3425,0.2600,0.0138,0.6429,0.0944,0.8730,0.1708,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_2071_noisy.jpg,0,0,0.3194,0.9000,0.0037,0.0133,0.0000,0.9972,0.0020,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_863_noisy.jpg,0,1,0.5586,0.9848,1.0000,0.7804,0.5861,0.0002,0.0000,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_hills-under-stormy-clouds_886812784_noisy.jpg,1,0,0.2228,1.0000,0.0554,0.1429,0.1188,0.0000,0.0196,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_556_noisy.jpg,0,0,0.1887,0.9999,0.0843,0.0462,0.0000,0.0000,0.0016,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_105_noisy.jpg,0,1,0.6071,1.0000,0.8661,0.2398,0.4572,0.9699,0.1099,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_dreamlike_photoreal_20_professional-headshot-of-a-south-asian-man-with-glasses-neut_259154085_noisy.jpg,1,0,0.3548,1.0000,0.0477,0.0808,0.0001,0.0002,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_513_noisy.jpg,0,0,0.1890,0.9517,0.0008,0.1719,0.0000,0.0001,0.0095,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1828_noisy.jpg,0,0,0.2310,0.9998,0.0070,0.3786,0.0000,0.0000,0.0006,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_988_noisy.jpg,0,0,0.2002,0.9998,0.0002,0.1992,0.0016,0.0000,0.0005,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-small-boat-on-water_560892226_noisy.jpg,1,0,0.2940,0.9534,0.0308,0.4636,0.0015,0.3125,0.0019,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1970_noisy.jpg,0,0,0.0585,0.0043,0.0012,0.3448,0.0000,0.0000,0.0005,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_727_noisy.jpg,0,0,0.3577,0.9998,0.0169,0.1623,0.0007,0.0018,0.9645,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_inpainting_add-door-mat_976720159_noisy.jpg,1,0,0.3782,0.9514,0.0092,0.3318,0.1508,0.1477,0.6786,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_647_noisy.jpg,0,0,0.1724,0.9914,0.0054,0.0367,0.0000,0.0000,0.0008,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_juggernaut_xl_v9_portrait-of-a-teenage-boy-with-acne-school-hallway-backgroun_503500182_noisy.jpg,1,0,0.3826,1.0000,0.0088,0.2865,0.0000,0.0002,1.0000,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_195_noisy.jpg,0,0,0.0668,0.2494,0.0017,0.1438,0.0000,0.0000,0.0060,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_inpainting_add-open-window_901371869_noisy.jpg,1,0,0.3248,0.0150,0.1146,0.4452,0.0352,0.4107,0.9282,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_stable_diffusion_15_coastal-cliffs-with-crashing-waves-overcast-weather_806528434_noisy.jpg,1,0,0.4275,0.9919,0.0056,0.5594,0.0004,0.9995,0.0079,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1611_noisy.jpg,0,0,0.4255,0.9999,0.0033,0.0121,0.0006,0.7020,0.8349,,,,,,
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1876_noisy.jpg,0,0,0.1778,0.9965,0.0022,0.0674,0.0002,0.0000,0.0004,,,,,,
