img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test\0_real\lhq_70.png,0,0,0.0119,0.9804,0.0003,0.4921,0.0003,0.0000,0.0466,0.0000,1.0000,0.0000,0.2026,0.2946,0.5028
data/test/meta_classifier_train_data/known_test\0_real\architecture_445.jpg,0,1,0.9661,0.8242,0.9999,0.9787,0.8479,1.0000,0.9998,0.0000,0.0000,1.0000,0.3050,0.3135,0.3814
data/test/meta_classifier_train_data/known_test\1_fake\human_synthetic_dreamlike_photoreal_20_portrait-of-a-teenage-boy-with-acne-school-hallway-backgroun_319280491.jpg,1,1,0.9808,1.0000,0.9766,0.9624,1.0000,0.8862,1.0000,1.0000,0.0000,0.0000,0.2721,0.3370,0.3909
data/test/meta_classifier_train_data/known_test\0_real\faceforensics_840.jpg,0,0,0.0063,0.0000,1.0000,0.6480,0.0001,0.0000,0.0170,0.9906,0.0093,0.0000,0.4647,0.3489,0.1864
data/test/meta_classifier_train_data/known_test\0_real\architecture_643.jpg,0,0,0.0017,0.7861,0.0070,0.0009,0.0071,0.0000,0.0016,0.0000,0.0000,1.0000,0.2720,0.3808,0.3472
data/test/meta_classifier_train_data/known_test\1_fake\human_manipulated_stable_diffusion_2_inpainting_add-freckles-on-cheeks_84051323.jpg,1,1,0.9463,0.8933,0.9908,0.6206,0.9975,1.0000,0.9999,1.0000,0.0000,0.0000,0.3079,0.1593,0.5327
data/test/meta_classifier_train_data/known_test\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_autumn-scene-with-colorful-trees_719679948.jpg,1,1,0.9134,0.6073,0.8649,0.7092,0.9799,1.0000,0.8940,0.0000,1.0000,0.0000,0.2609,0.4295,0.3095
data/test/meta_classifier_train_data/known_test\1_fake\building_manipulated_stable_diffusion_15_imag2img_small-house-with-garden-in-daylight_499352183.jpg,1,1,0.9942,0.0706,0.9857,0.9996,0.9590,1.0000,0.9994,0.0000,0.0000,1.0000,0.2667,0.3312,0.4020
data/test/meta_classifier_train_data/known_test\0_real\faceforensics_884.jpg,0,0,0.0076,0.0002,1.0000,0.9665,0.0020,0.0000,0.0300,1.0000,0.0000,0.0000,0.3329,0.1924,0.4747
data/test/meta_classifier_train_data/known_test\1_fake\building_synthetic_juggernaut_xl_v9_small-countryside-church-with-stone-walls_171784436.jpg,1,1,0.9694,0.8671,0.8622,0.9919,1.0000,0.9981,0.9991,0.0000,0.4027,0.5973,0.3689,0.3879,0.2432
data/test/meta_classifier_train_data/known_test\1_fake\landscape_synthetic_dreamlike_photoreal_20_northern-lights-over-snowy-forest-night-sky-full-of-stars_655070776.jpg,1,1,0.9904,1.0000,0.9999,0.9884,0.9608,0.9898,0.9999,0.0000,0.9996,0.0004,0.3519,0.5285,0.1196
data/test/meta_classifier_train_data/known_test\0_real\lhq_1483.png,0,0,0.0038,0.2228,0.0074,0.8604,0.0000,0.0000,0.0002,0.0000,0.9999,0.0001,0.2398,0.3978,0.3624
data/test/meta_classifier_train_data/known_test\1_fake\human_synthetic_juggernaut_xl_v9_portrait-of-an-elderly-Black-man-with-gray-beard-warm-indoor_810614026.jpg,1,1,0.9997,1.0000,0.5520,0.5229,1.0000,0.9986,1.0000,1.0000,0.0000,0.0000,0.3210,0.4163,0.2628
