img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_autumn-scene-with-colorful-trees_561277052_jpeg.jpg,1,1,0.9984,0.6282,0.9997,0.8861,0.9903,1.0000,0.9974,0.0000,1.0000,0.0000,0.2074,0.4569,0.3357
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_293_jpeg.jpg,0,0,0.1124,0.9708,0.9519,0.2122,0.0210,0.0001,0.0181,0.0000,0.0000,1.0000,0.3189,0.3539,0.3272
data/test/meta_classifier_train_data/known_test_jpeg\0_real\celeba_397_jpeg.jpg,0,0,0.0000,0.0001,0.9998,0.9331,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.2969,0.3139,0.3892
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_1239_jpeg.jpg,0,0,0.1842,0.9685,0.0000,0.7154,0.9744,0.0364,0.0138,0.0000,0.9997,0.0003,0.3568,0.5154,0.1279
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_649_jpeg.jpg,0,0,0.3869,0.2114,0.1073,0.5130,0.9926,0.8638,0.0311,0.0000,0.9999,0.0001,0.3097,0.4056,0.2848
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_1776_jpeg.jpg,0,1,0.6470,0.5293,0.5595,0.9237,0.9851,0.0000,0.0440,0.0000,0.0000,1.0000,0.3613,0.3098,0.3289
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_juggernaut_xl_v9_small-countryside-church-with-stone-walls_911251732_jpeg.jpg,1,1,0.9832,0.9436,0.9356,0.9691,1.0000,1.0000,1.0000,0.0027,0.0778,0.9195,0.4090,0.4371,0.1539
data/test/meta_classifier_train_data/known_test_jpeg\0_real\faceforensics_850_jpeg.jpg,0,0,0.0842,0.0742,1.0000,0.9830,0.2397,0.0122,0.0030,0.9991,0.0007,0.0002,0.3703,0.2972,0.3325
data/test/meta_classifier_train_data/known_test_jpeg\0_real\faceforensics_231_jpeg.jpg,0,0,0.0767,0.0219,0.9897,0.8246,0.4608,0.0000,0.0028,1.0000,0.0000,0.0000,0.2839,0.4383,0.2777
data/test/meta_classifier_train_data/known_test_jpeg\0_real\celeba_709_jpeg.jpg,0,0,0.0000,0.0000,1.0000,0.8705,0.0000,0.0001,0.0000,1.0000,0.0000,0.0000,0.2541,0.2746,0.4713
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_manipulated_stable_diffusion_15_imag2img_building-with-neon-signs_130409445_jpeg.jpg,1,1,0.9194,0.9991,0.9389,0.9301,0.8455,0.9303,0.9838,0.0000,0.0001,0.9999,0.4022,0.3651,0.2326
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_synthetic_juggernaut_xl_v9_portrait-of-a-man-with-long-hair-and-tattoos-dramatic-lighti_544459925_jpeg.jpg,1,1,0.9997,1.0000,0.6260,0.4162,1.0000,1.0000,0.9983,0.9998,0.0002,0.0000,0.3298,0.4129,0.2573
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_synthetic_stable_diffusion_15_rolling-vineyards-in-summer-mediterranean-style_74041731_jpeg.jpg,1,1,1.0000,0.9999,1.0000,0.9989,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.4560,0.3062,0.2378
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-flock-of-birds_399017273_jpeg.jpg,1,1,0.9995,0.0021,0.9998,0.9807,1.0000,0.9992,0.9988,0.0000,1.0000,0.0000,0.2563,0.3408,0.4029
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_manipulated_stable_diffusion_2_inpainting_add-headset-on-ears_309048028_jpeg.jpg,1,1,1.0000,1.0000,1.0000,0.7933,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.3735,0.2127,0.4138
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_stable_diffusion_15_desert-adobe-houses-warm-sunset-light_511947771_jpeg.jpg,1,1,0.9845,0.9965,0.9983,0.9953,0.9427,0.9990,0.9991,0.0000,0.2340,0.7660,0.4617,0.3160,0.2223
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_585_jpeg.jpg,0,1,0.9979,0.6896,0.9995,0.9977,0.9998,0.9995,0.9960,0.0004,0.0637,0.9359,0.2446,0.3222,0.4332
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_stable_diffusion_15_apartment-block-with-balconies-urban-daylight_191735735_jpeg.jpg,1,1,0.9685,0.9947,0.9998,0.9862,0.9004,1.0000,1.0000,0.0000,0.0026,0.9974,0.4935,0.2196,0.2870
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_1292_jpeg.jpg,0,1,0.5073,0.0292,0.8758,0.9649,0.1825,0.0003,0.0063,0.0000,0.0006,0.9994,0.2627,0.4722,0.2651
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_2_manipulated_stable_diffusion_15_imag2img_portrait-with-slight-vignette-effect_801820910_jpeg.jpg,1,1,0.9669,0.9998,1.0000,0.7532,1.0000,0.8369,0.9753,1.0000,0.0000,0.0000,0.2304,0.3395,0.4301
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_manipulated_stable_diffusion_inpainting_add-flower-pots-on-windowsill_769084356_jpeg.jpg,1,1,0.9283,0.9997,0.4099,0.9981,0.9982,0.4936,0.9962,0.0000,0.0138,0.9862,0.5060,0.2597,0.2343
data/test/meta_classifier_train_data/known_test_jpeg\0_real\faceforensics_333_jpeg.jpg,0,0,0.1299,0.0002,1.0000,0.9842,0.9848,0.0014,0.0080,0.9812,0.0083,0.0105,0.2404,0.2938,0.4658
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_dreamlike_photoreal_20_colorful-houses-along-a-canal-daytime_293587745_jpeg.jpg,1,1,0.9966,1.0000,0.9847,0.9932,1.0000,1.0000,1.0000,0.0003,0.0080,0.9917,0.4756,0.2766,0.2478
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_waterfall-in-daylight_755309459_jpeg.jpg,1,1,0.9984,0.9392,0.9993,0.9983,1.0000,0.9961,0.9974,0.0000,0.9998,0.0002,0.2755,0.4954,0.2292
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_synthetic_dreamlike_photoreal_20_classic-new-york-brownstone-street-autumn-leaves_622687987_jpeg.jpg,1,1,0.9995,0.9975,0.9987,0.9996,1.0000,1.0000,1.0000,0.0012,0.5820,0.4168,0.4818,0.3067,0.2115
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_manipulated_stable_diffusion_15_imag2img_building-with-overexposed-light_505672756_jpeg.jpg,1,1,0.9991,1.0000,0.9998,0.9999,0.9966,0.9979,1.0000,0.0000,0.0000,1.0000,0.3170,0.3172,0.3659
data/test/meta_classifier_train_data/known_test_jpeg\0_real\lhq_1187_jpeg.jpg,0,0,0.1700,0.0030,0.0311,0.7539,0.9996,0.0000,0.0104,0.0149,0.9698,0.0154,0.2950,0.3750,0.3301
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_241_jpeg.jpg,0,1,0.6085,0.7519,0.9022,0.9002,0.1599,0.0235,0.8576,0.0000,0.0022,0.9978,0.3088,0.3899,0.3013
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\landscape_synthetic_stable_diffusion_15_desert-plateau-with-cacti-midday-sun_122824733_jpeg.jpg,1,1,0.9947,0.9996,1.0000,0.9991,0.9768,1.0000,1.0000,0.0037,0.5550,0.4414,0.4355,0.3315,0.2330
data/test/meta_classifier_train_data/known_test_jpeg\0_real\architecture_1766_jpeg.jpg,0,0,0.0971,0.9980,0.8914,0.0970,0.3440,0.0002,0.0070,0.0000,0.0003,0.9997,0.2741,0.3473,0.3785
data/test/meta_classifier_train_data/known_test_jpeg\0_real\faceforensics_852_jpeg.jpg,0,0,0.1013,0.0203,1.0000,0.8270,0.7015,0.0000,0.0003,0.9998,0.0001,0.0001,0.2595,0.1870,0.5535
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\building_manipulated_stable_diffusion_inpainting_add-ivy-on-facade_363446379_jpeg.jpg,1,1,0.8660,0.9920,0.9979,0.9432,0.5855,1.0000,0.9999,0.0000,0.0000,1.0000,0.5092,0.2287,0.2620
data/test/meta_classifier_train_data/known_test_jpeg\1_fake\human_synthetic_stable_diffusion_15_photo-of-a-man-in-his-30s-with-a-beard-winter-jacket-snowy-b_247083813_jpeg.jpg,1,1,1.0000,1.0000,0.9983,0.8553,1.0000,1.0000,1.0000,0.9998,0.0001,0.0001,0.3326,0.3257,0.3417
