img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_synthetic_dreamlike_photoreal_20_colorful-houses-along-a-canal-daytime_293587745_noisy.jpg,1,1,0.7171,0.9999,0.2844,0.9574,0.0058,0.9456,1.0000,0.0004,0.0086,0.9909,0.5057,0.2716,0.2227
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_stable_diffusion_15_photo-of-a-young-boy-with-curly-hair-smiling-outdoors-in-the_726600540_noisy.jpg,1,1,0.6305,0.9996,0.7140,0.0606,0.0389,0.7814,0.9988,0.4295,0.5704,0.0001,0.5153,0.3671,0.1177
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_508_noisy.jpg,0,1,0.5021,1.0000,0.0106,0.4136,0.0000,0.0014,0.0217,1.0000,0.0000,0.0000,0.3373,0.5026,0.1601
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_dreamlike_photoreal_20_photo-of-a-toddler-with-blond-hair-sitting-on-the-grass_365830216_noisy.jpg,1,1,0.6062,1.0000,0.1333,0.0375,0.0003,0.0001,1.0000,1.0000,0.0000,0.0000,0.4310,0.3568,0.2123
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_2_manipulated_stable_diffusion_15_imag2img_portrait-with-warm-golden-hour-tones_928733905_noisy.jpg,1,1,0.6532,0.9983,0.9999,0.6021,0.4580,1.0000,0.0006,0.2481,0.0058,0.7461,0.3478,0.4443,0.2079
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1715_noisy.jpg,0,0,0.2559,1.0000,0.4479,0.2675,0.0258,0.0000,0.4105,0.0038,0.9876,0.0085,0.3584,0.5100,0.1316
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-small-barn_957038279_noisy.jpg,1,1,0.5585,0.9767,0.1393,0.4274,0.9359,0.9244,0.7304,0.0000,0.6121,0.3878,0.3862,0.2900,0.3237
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_synthetic_stable_diffusion_15_modern-luxury-villa-with-swimming-pool-daylight_666430219_noisy.jpg,1,0,0.4931,0.0717,0.3962,0.8925,0.0084,0.9442,0.9999,0.0000,0.9823,0.0177,0.4035,0.3334,0.2631
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_289_noisy.jpg,0,1,0.7315,1.0000,0.2673,0.0388,0.1446,0.9670,0.0050,1.0000,0.0000,0.0000,0.3702,0.4224,0.2074
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_inpainting_add-car-parked-in-front_451501134_noisy.jpg,1,0,0.1525,0.9990,0.0717,0.1087,0.1589,0.0014,0.6583,0.0000,0.5185,0.4815,0.5135,0.2837,0.2028
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_inpainting_add-door-mat_976720159_noisy.jpg,1,0,0.1593,0.9514,0.0092,0.3318,0.1508,0.1477,0.6786,0.0000,0.8156,0.1844,0.5105,0.2999,0.1897
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_synthetic_juggernaut_xl_v9_minimalist-concrete-building-clean-lines-overcast-sky_251258750_noisy.jpg,1,0,0.1088,0.9999,0.0028,0.0028,0.0000,0.0002,0.9966,0.0891,0.4440,0.4669,0.4194,0.4543,0.1263
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1554_noisy.jpg,0,0,0.1185,0.0967,0.0179,0.2335,0.0005,0.0000,0.0224,0.0000,0.0091,0.9909,0.4222,0.3466,0.2312
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_581_noisy.jpg,0,0,0.3230,0.0568,0.0026,0.1599,0.1779,0.7484,0.4724,0.0000,0.0000,1.0000,0.3183,0.3891,0.2926
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_synthetic_juggernaut_xl_v9_suburban-residential-street-with-family-houses_308034407_noisy.jpg,1,1,0.5809,0.9998,0.3450,0.9972,0.0001,0.0450,1.0000,0.0028,0.0162,0.9809,0.4693,0.3724,0.1583
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_831_noisy.jpg,0,0,0.0006,0.0013,0.0002,0.0984,0.0000,0.0000,0.0043,0.0000,1.0000,0.0000,0.3846,0.4043,0.2112
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_442_noisy.jpg,0,0,0.1749,0.0417,1.0000,0.8659,0.8148,0.0001,0.0023,0.9999,0.0001,0.0000,0.3771,0.3360,0.2869
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1053_noisy.jpg,0,0,0.0008,0.1802,0.0003,0.8470,0.0001,0.0000,0.0077,0.0000,1.0000,0.0000,0.4482,0.3937,0.1581
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_dreamlike_photoreal_20_photo-of-a-middle-aged-man-with-shaved-head-gym-background_133523721_noisy.jpg,1,0,0.4657,1.0000,0.0188,0.2563,0.0001,0.0007,0.9999,0.7676,0.0041,0.2283,0.4409,0.4543,0.1049
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_556_noisy.jpg,0,0,0.0423,0.9999,0.0843,0.0462,0.0000,0.0000,0.0016,0.0000,1.0000,0.0000,0.3535,0.4953,0.1512
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_manipulated_stable_diffusion_2_inpainting_add-subtle-makeup-on-lips_874429056_noisy.jpg,1,1,0.8408,1.0000,0.3548,0.2714,0.0889,0.9981,0.9998,1.0000,0.0000,0.0000,0.3487,0.3191,0.3322
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_cloudy-mountain-view_361081824_noisy.jpg,1,1,0.7012,1.0000,0.4860,0.7513,0.8337,0.9987,0.9747,0.0000,1.0000,0.0000,0.4693,0.3335,0.1972
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_desert-under-bright-sun_238642890_noisy.jpg,1,0,0.1861,0.0172,0.0008,0.6228,0.0006,0.9297,0.3064,0.0000,0.9993,0.0007,0.4469,0.3225,0.2306
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1821_noisy.jpg,0,0,0.0182,0.2183,0.0005,0.2162,0.0001,0.0039,0.2610,0.0000,0.9998,0.0002,0.3695,0.5003,0.1302
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-electricity-pole_264115902_noisy.jpg,1,0,0.1501,0.9997,0.0070,0.1290,0.0573,0.7430,0.0633,0.0000,1.0000,0.0000,0.4062,0.3417,0.2520
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_643_noisy.jpg,0,0,0.3104,0.9961,0.0726,0.8646,0.0000,0.0000,0.0719,0.0000,0.3288,0.6712,0.4364,0.3329,0.2307
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1771_noisy.jpg,0,0,0.0048,0.9678,0.0094,0.0717,0.0000,0.0000,0.0005,0.0000,0.9999,0.0001,0.3789,0.4835,0.1376
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_197_noisy.jpg,0,0,0.1306,0.0012,0.9999,0.7282,0.6299,0.0000,0.0295,0.9898,0.0024,0.0077,0.3871,0.3415,0.2713
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_126_noisy.jpg,0,1,0.5793,0.9963,1.0000,0.6286,0.4051,0.0000,0.0001,1.0000,0.0000,0.0000,0.4004,0.4338,0.1658
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_stable_diffusion_15_photo-of-a-young-boy-with-curly-hair-smiling-outdoors-in-the_239670712_noisy.jpg,1,0,0.3265,1.0000,0.1295,0.1644,0.0191,0.9981,1.0000,0.0309,0.6262,0.3429,0.5248,0.2996,0.1757
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_84_noisy.jpg,0,0,0.0003,0.9936,0.0000,0.4527,0.0003,0.0000,0.0018,0.0000,1.0000,0.0000,0.3944,0.3869,0.2186
data/test/meta_classifier_train_data/known_test_noisy\0_real\lhq_1483_noisy.jpg,0,0,0.0002,0.9941,0.0001,0.5407,0.0000,0.0000,0.0014,0.0000,0.9999,0.0001,0.3747,0.3844,0.2409
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_synthetic_juggernaut_xl_v9_dense-rainforest-with-mist-sunlight-filtering-through-trees_398320111_noisy.jpg,1,0,0.1346,0.9999,0.0852,0.4881,0.0000,0.0000,0.9925,0.0000,0.9985,0.0015,0.4395,0.3756,0.1849
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1351_noisy.jpg,0,0,0.1778,0.7278,0.0008,0.0005,0.0222,0.9232,0.0008,0.0000,0.0000,1.0000,0.3716,0.3755,0.2529
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-small-barn_79746528_noisy.jpg,1,0,0.2182,1.0000,0.0000,0.4139,0.0072,0.9914,0.0015,0.0000,1.0000,0.0000,0.4542,0.4367,0.1091
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_synthetic_stable_diffusion_15_desert-adobe-houses-warm-sunset-light_511947771_noisy.jpg,1,1,0.6931,1.0000,0.8803,0.8724,0.3636,0.9999,0.1448,0.0000,0.3106,0.6894,0.4867,0.3041,0.2093
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_2_manipulated_stable_diffusion_2_inpainting_add-scar-on-forehead_901625823_noisy.jpg,1,1,0.5029,0.6106,0.4077,0.4699,0.1203,0.3770,0.9999,1.0000,0.0000,0.0000,0.4195,0.3785,0.2020
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_787_noisy.jpg,0,0,0.4732,0.7537,1.0000,0.5010,0.4730,0.0000,0.0001,1.0000,0.0000,0.0000,0.4074,0.3441,0.2485
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_manipulated_stable_diffusion_2_inpainting_add-freckles-on-cheeks_84051323_noisy.jpg,1,1,0.7810,0.9715,0.1848,0.5494,0.0002,0.9567,0.9981,1.0000,0.0000,0.0000,0.3926,0.3807,0.2267
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_223_noisy.jpg,0,1,0.5044,0.9999,0.5651,0.1281,0.0129,0.0074,0.0035,1.0000,0.0000,0.0000,0.3950,0.4187,0.1863
data/test/meta_classifier_train_data/known_test_noisy\1_fake\landscape_manipulated_stable_diffusion_15_imag2img_river-in-bright-daylight_393624576_noisy.jpg,1,0,0.2014,0.9812,0.0138,0.4242,0.0080,0.3920,0.9255,0.0000,1.0000,0.0000,0.3459,0.4108,0.2433
data/test/meta_classifier_train_data/known_test_noisy\1_fake\building_manipulated_stable_diffusion_15_imag2img_building-at-night-with-lit-windows_43303807_noisy.jpg,1,0,0.1113,0.9980,0.0595,0.0074,0.0007,0.5892,0.0309,0.0000,0.0000,1.0000,0.5007,0.3571,0.1422
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1577_noisy.jpg,0,0,0.0028,0.6675,0.0007,0.0041,0.0011,0.0000,0.0046,0.0000,0.0000,1.0000,0.4475,0.3255,0.2270
data/test/meta_classifier_train_data/known_test_noisy\0_real\architecture_1944_noisy.jpg,0,0,0.0143,0.9997,0.0680,0.0094,0.0008,0.0193,0.0519,0.0000,0.0007,0.9993,0.4619,0.2811,0.2569
data/test/meta_classifier_train_data/known_test_noisy\1_fake\human_synthetic_juggernaut_xl_v9_portrait-of-a-man-with-long-hair-and-tattoos-dramatic-lighti_544459925_noisy.jpg,1,1,0.5683,1.0000,0.0078,0.1861,0.0237,0.0000,0.9986,0.9996,0.0004,0.0000,0.4092,0.4632,0.1276
data/test/meta_classifier_train_data/known_test_noisy\0_real\celeba_365_noisy.jpg,0,0,0.2151,0.3828,1.0000,0.4272,0.1231,0.0000,0.0005,1.0000,0.0000,0.0000,0.3844,0.3678,0.2477
data/test/meta_classifier_train_data/known_test_noisy\0_real\faceforensics_950_noisy.jpg,0,1,0.5066,0.9972,0.3442,0.3512,0.0425,0.0003,0.0009,1.0000,0.0000,0.0000,0.3674,0.3321,0.3005
