img,label,prediction,final_prob,p_human,p_landscape,p_building,p_edges,p_frequency,p_grayscale,w_human,w_landscape,w_building,w_edges,w_frequency,w_grayscale
data/test/meta_classifier_train_data/known_test_scaled\1_fake\human_2_manipulated_stable_diffusion_inpainting_add-mole-on-face_376984618_scaled.jpg,1,1,0.9997,1.0000,1.0000,0.9993,0.9988,0.9986,1.0000,0.9999,0.0000,0.0000,0.2611,0.1368,0.6022
data/test/meta_classifier_train_data/known_test_scaled\0_real\lhq_1741_scaled.jpg,0,0,0.1938,0.0445,0.1790,0.6449,0.1283,0.7740,0.0164,0.0000,1.0000,0.0000,0.2487,0.2171,0.5342
data/test/meta_classifier_train_data/known_test_scaled\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-fox-in-forest_875027377_scaled.jpg,1,1,0.9960,0.2814,0.9997,0.7930,0.9827,1.0000,0.9999,0.0000,1.0000,0.0000,0.4429,0.2755,0.2817
data/test/meta_classifier_train_data/known_test_scaled\1_fake\landscape_manipulated_stable_diffusion_inpainting_add-small-barn_923894849_scaled.jpg,1,1,0.9991,0.9990,0.9923,0.9986,1.0000,0.9999,1.0000,0.2383,0.0674,0.6943,0.3795,0.2377,0.3828
data/test/meta_classifier_train_data/known_test_scaled\1_fake\human_synthetic_dreamlike_photoreal_20_professional-headshot-of-a-south-asian-man-with-glasses-neut_259154085_scaled.jpg,1,1,0.9984,1.0000,0.9578,0.8763,0.9927,1.0000,1.0000,1.0000,0.0000,0.0000,0.4434,0.2559,0.3007
data/test/meta_classifier_train_data/known_test_scaled\1_fake\building_synthetic_stable_diffusion_15_old-industrial-warehouse-with-brick-walls_144193988_scaled.jpg,1,1,0.9388,0.7817,0.7994,0.8915,0.9812,0.9883,0.9998,0.0000,0.0260,0.9740,0.4451,0.2624,0.2926
data/test/meta_classifier_train_data/known_test_scaled\0_real\architecture_643_scaled.jpg,0,0,0.1229,0.8397,0.3629,0.1562,0.0751,0.0377,0.1194,0.0000,0.0000,1.0000,0.2992,0.2037,0.4970
data/test/meta_classifier_train_data/known_test_scaled\0_real\celeba_787_scaled.jpg,0,0,0.0061,0.0000,0.9210,0.6434,0.0049,0.0589,0.0000,1.0000,0.0000,0.0000,0.2940,0.1821,0.5239
data/test/meta_classifier_train_data/known_test_scaled\0_real\architecture_2033_scaled.jpg,0,0,0.0520,0.9617,0.0471,0.0978,0.0000,0.0001,0.0386,0.0000,0.1007,0.8993,0.4388,0.2677,0.2936
data/test/meta_classifier_train_data/known_test_scaled\1_fake\building_manipulated_stable_diffusion_15_imag2img_modern-glass-facade-daylight_443516367_scaled.jpg,1,1,0.7774,0.9364,0.3011,0.8506,0.1091,1.0000,1.0000,0.0000,0.0003,0.9997,0.3318,0.2135,0.4547
data/test/meta_classifier_train_data/known_test_scaled\1_fake\landscape_manipulated_stable_diffusion_2_inpainting_add-person-silhouette-in-distance_457611678_scaled.jpg,1,1,0.9554,0.5548,0.9744,0.8880,0.7641,1.0000,0.9995,0.0000,1.0000,0.0000,0.2685,0.1508,0.5807
