Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,62.20,69.67,159.5248,81.80
2,73.40,73.50,75.7057,82.19
3,79.00,74.17,52.3028,82.55
4,82.13,76.67,42.1568,82.79
5,84.43,80.83,36.0390,82.08
6,86.03,79.50,32.6634,82.44
7,88.50,82.17,25.5980,81.52
8,88.30,82.17,27.1962,81.92
9,90.27,83.33,22.8467,82.61
10,91.63,83.00,21.5194,82.29
11,91.77,84.33,19.9773,81.83
12,92.43,85.33,18.1559,81.52
13,92.87,84.17,16.9049,81.65
14,93.30,84.33,15.8553,81.74
15,93.93,83.83,15.0283,82.35
16,94.43,85.00,13.2031,82.08
