Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,69.80,73.33,198.7994,26.48
2,87.03,76.67,67.8328,26.58
3,91.20,79.83,46.8482,26.76
4,94.40,81.50,32.3875,26.66
5,95.27,81.33,26.0767,26.75
6,96.50,83.33,20.6648,26.62
7,97.40,83.17,14.5766,26.77
8,97.77,84.67,11.9415,26.71
9,97.90,87.17,12.1758,26.59
10,98.07,87.50,10.9929,26.73
11,98.60,85.33,7.2374,26.64
12,98.07,86.50,12.3099,26.74
13,97.90,86.50,12.8959,26.71
14,98.67,89.17,10.5503,26.56
15,99.03,88.33,6.1229,26.62
16,98.43,86.33,9.9376,26.46
17,98.60,89.33,8.3712,26.73
18,98.53,88.50,11.9735,26.66
19,98.37,89.67,8.9676,26.57
20,99.27,90.17,5.6368,26.72
21,98.93,89.50,7.7989,37.10
22,99.13,90.17,5.6080,34.94
23,99.10,92.17,5.0375,34.22
24,99.23,89.50,4.9995,26.49
25,99.40,90.00,4.2547,26.56
26,99.37,91.00,2.8955,26.48
27,98.90,90.33,8.2460,26.55
