Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,73.10,82.67,49.1435,99.26
2,88.57,89.33,24.8154,99.47
3,93.87,89.67,15.4406,99.32
4,94.80,90.50,12.1286,98.99
5,95.30,92.00,11.9330,98.97
6,96.47,92.00,9.5809,98.92
7,96.47,91.33,9.0982,99.23
8,97.33,92.83,5.7529,99.29
9,97.23,91.67,7.5744,99.01
10,98.13,92.50,4.8471,98.73
11,98.30,94.17,5.1668,98.56
12,98.27,93.83,5.1782,98.78
13,98.00,94.33,5.9832,98.92
14,98.50,94.50,4.5742,98.90
15,97.83,92.83,5.3411,98.97
16,97.47,93.00,5.6313,99.00
17,98.63,94.50,3.7155,99.43
18,98.60,93.33,4.7169,107.55
