Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,74.68,82.17,230.6960,68.12
2,87.99,84.78,79.8497,68.26
3,93.08,87.17,48.3116,66.95
4,95.18,87.22,36.6646,66.66
5,96.60,87.39,24.7908,67.56
6,97.78,88.67,18.5934,67.06
7,98.19,89.83,15.2918,67.49
8,98.44,89.67,12.1030,68.15
9,98.48,89.61,13.0073,67.81
10,99.04,90.06,8.1744,67.89
11,98.90,89.44,9.2088,68.84
12,99.16,90.89,6.5544,68.09
13,98.73,90.78,9.9612,68.14
14,98.94,91.33,9.2751,67.39
15,99.33,90.50,5.7304,67.50
16,99.46,90.94,5.3419,66.69
17,98.67,89.22,10.0703,67.56
18,99.03,90.94,7.1753,68.18
