Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,79.18,86.22,360.5502,76.20
2,90.98,88.44,134.0238,76.03
3,94.78,89.56,76.9461,76.01
4,96.38,90.22,52.0375,76.27
5,96.94,90.94,47.2216,76.21
6,97.28,91.50,44.7137,76.15
7,98.19,92.00,27.6950,76.23
8,98.60,90.83,24.2437,76.10
9,98.30,92.22,27.7183,76.00
10,98.20,92.17,30.2394,76.28
11,98.70,93.06,21.7094,76.67
12,98.43,94.44,25.3901,76.50
13,98.69,90.39,24.6003,76.37
14,99.18,94.61,14.0102,76.04
15,99.03,94.39,16.4949,76.13
16,99.16,94.00,13.3602,76.19
17,98.92,94.94,19.5783,76.15
18,99.18,95.28,12.8792,76.14
19,99.06,94.50,15.8479,76.04
20,99.40,92.78,10.5501,76.08
21,99.04,94.22,16.6224,75.97
22,99.37,95.33,11.1777,76.19
23,99.72,93.00,7.2866,76.59
24,99.53,94.50,7.9145,76.32
25,99.21,95.56,19.5575,76.26
26,99.70,92.89,5.4599,76.25
27,99.59,94.11,5.6336,75.90
28,99.46,94.56,9.5914,76.06
29,99.58,93.28,7.4312,76.28
