Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,85.52,91.94,178.6841,121.52
2,95.30,93.28,71.9913,121.71
3,97.22,92.78,43.4815,121.75
4,97.91,94.11,35.0391,121.53
5,98.63,92.11,24.5457,121.50
6,98.63,94.72,26.0293,121.26
7,98.89,92.83,19.7157,121.82
8,98.57,93.39,22.8980,121.32
9,99.14,93.67,15.4848,121.24
10,99.03,94.94,18.1470,121.46
11,99.01,93.89,19.0039,121.74
12,99.39,95.06,10.5907,121.32
13,99.33,94.44,12.4765,121.55
14,99.33,94.50,12.0671,121.57
15,99.40,94.67,10.8862,121.78
16,99.64,94.39,7.0002,121.53
