Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,77.90,85.33,255.1423,87.44
2,87.84,88.39,162.0109,87.27
3,91.00,89.00,129.6298,87.41
4,92.69,90.39,109.7627,88.50
5,93.21,91.33,96.2763,86.60
6,94.40,86.61,85.3019,87.28
7,95.23,91.89,74.4484,86.64
8,95.14,92.56,70.2605,86.64
9,95.71,92.78,63.4134,89.12
10,95.93,92.11,57.8302,87.94
11,96.56,92.61,51.4649,87.30
12,96.66,93.00,51.5065,87.10
13,97.17,93.89,40.9991,87.01
14,97.49,93.44,40.2456,87.98
15,97.66,93.89,37.4387,88.55
16,97.73,93.78,33.2522,86.77
17,97.88,90.83,32.7726,87.84
