Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,72.93,79.94,469.4524,67.44
2,84.26,86.00,210.7034,67.60
3,88.77,86.39,151.4831,67.40
4,90.97,87.72,124.3025,67.27
5,93.28,89.06,92.6817,67.15
6,94.58,89.22,74.5574,67.65
7,95.54,91.28,64.9155,67.17
8,96.60,91.33,51.4803,67.37
9,96.56,92.06,47.8562,66.70
10,97.37,91.17,40.1760,67.51
11,97.44,92.11,39.2465,66.84
12,98.01,92.83,31.9885,67.09
13,98.30,93.17,25.5565,67.45
14,98.34,93.39,26.2846,66.47
15,98.13,92.83,27.7912,67.13
16,98.20,93.11,25.7803,67.52
17,98.77,92.72,20.6556,66.90
18,98.88,93.00,18.2349,67.11
