Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,65.38,70.11,315.3517,51.59
2,78.97,73.50,134.3271,51.56
3,86.16,75.06,90.1409,50.92
4,90.57,76.22,64.6359,51.16
5,93.09,77.44,49.4482,51.64
6,94.11,76.72,41.6655,50.80
7,95.62,78.11,31.7311,50.98
8,96.68,79.50,25.7960,51.31
9,96.80,79.11,24.3300,50.76
10,96.93,79.61,24.3465,51.93
11,97.36,79.06,21.5170,51.72
12,97.59,80.00,19.6664,52.04
13,97.78,80.11,18.5011,51.57
14,98.02,79.00,15.4573,51.25
15,98.21,80.11,16.0377,52.39
16,98.46,80.00,12.7943,51.63
17,98.47,78.94,11.9029,51.06
