Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,77.93,89.00,127.1167,72.14
2,93.18,91.06,49.6568,72.15
3,97.24,91.50,22.8948,71.90
4,98.13,91.11,15.9127,72.17
5,98.38,91.56,13.5001,72.41
6,98.77,91.61,9.9308,72.21
7,99.01,91.28,8.3907,72.15
8,99.02,91.89,7.5392,72.26
9,99.42,92.00,5.2715,72.56
10,99.31,91.72,5.9803,72.84
11,99.17,91.89,7.8191,72.24
12,99.18,92.44,6.9896,71.93
13,99.31,92.78,6.4886,72.25
14,99.26,92.56,6.5584,72.67
15,99.30,92.61,7.5117,72.05
16,99.06,91.94,8.4133,72.15
17,99.56,90.94,4.5902,71.89
