Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,70.62,79.06,482.0338,75.98
2,86.46,84.22,192.7820,75.85
3,92.70,85.83,103.7844,75.75
4,94.83,84.94,77.4573,75.87
5,95.68,87.50,66.2749,75.48
6,96.41,89.00,55.0193,75.60
7,96.63,89.17,51.7429,75.82
8,97.83,88.89,35.5598,75.85
9,97.20,88.56,44.6382,75.67
10,97.70,90.72,33.1362,75.83
11,98.09,87.94,30.8253,75.59
12,98.21,90.17,31.6422,75.64
13,98.54,90.83,23.4974,75.62
14,98.69,91.22,22.8877,75.81
15,98.86,91.22,21.6761,75.74
16,98.96,91.61,18.0749,75.63
17,98.48,91.22,27.4803,75.67
18,98.73,91.17,19.4812,75.51
19,99.01,92.61,15.3074,75.74
20,98.92,92.17,18.5164,76.31
21,99.44,91.11,8.6490,75.95
22,99.23,92.33,13.4591,75.73
23,98.51,91.78,25.2332,75.71
