Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,76.13,86.00,191.7806,18.01
2,91.70,88.50,47.6646,17.93
3,94.57,91.17,30.2119,17.85
4,96.30,91.17,20.6482,17.85
5,97.30,93.33,13.5181,17.91
6,97.17,92.83,13.2379,17.79
7,98.13,91.50,9.3459,17.84
8,98.23,93.83,8.6608,18.03
9,98.97,92.33,5.8817,17.60
10,98.33,94.17,9.1319,17.97
11,99.07,93.67,4.2624,17.94
12,98.57,93.17,8.7106,17.87
13,98.97,95.00,5.8850,17.64
14,98.93,95.00,4.7922,17.92
15,99.37,95.17,4.3239,17.71
16,99.03,94.67,4.4198,17.95
17,99.27,95.17,5.4896,17.77
18,99.07,93.67,5.1650,17.88
19,99.00,94.17,6.4655,17.83
