Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,61.90,68.17,159.0654,176.61
2,74.63,76.33,77.8105,175.30
3,78.77,78.83,52.8420,176.79
4,82.50,81.83,42.0973,176.60
5,85.37,85.17,33.6389,176.94
6,87.13,85.83,29.2176,176.01
7,88.73,88.33,27.7302,174.64
8,89.50,86.67,24.5894,177.02
9,90.73,88.50,21.3686,177.32
10,91.13,89.67,19.6397,176.20
11,92.70,90.00,19.2810,175.36
12,93.13,91.17,16.5841,173.95
13,93.83,91.83,15.8139,173.14
14,93.53,91.83,14.8168,175.63
15,94.77,91.33,13.1150,174.83
16,94.93,92.83,12.2431,175.40
17,95.30,92.33,12.1212,174.50
18,95.33,92.50,10.1867,175.14
19,95.53,92.00,10.9093,176.11
20,95.47,91.33,10.7886,176.06
