Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,69.13,75.17,96.3573,110.44
2,88.97,79.50,28.7489,110.68
3,95.10,82.17,13.0105,110.36
4,96.70,84.50,8.5031,110.40
5,96.70,84.83,8.7854,110.20
6,97.87,85.33,6.0956,110.99
7,97.97,84.67,5.8923,111.53
8,98.60,85.50,4.1380,112.20
9,98.33,85.50,5.0876,110.91
10,98.80,86.17,3.4415,110.18
11,98.83,86.67,2.6872,110.33
12,98.83,87.17,3.2022,110.11
13,98.87,88.00,2.8763,110.17
14,98.83,87.17,4.1009,110.04
15,98.90,88.67,3.1799,110.09
16,98.93,87.17,3.1602,110.17
17,99.13,89.83,2.7112,110.07
18,99.37,90.50,2.0738,110.18
19,99.33,89.33,1.6724,109.90
20,99.37,89.17,2.4248,110.47
21,99.33,90.00,2.3854,110.21
22,99.77,91.83,0.7516,109.99
23,99.63,91.00,1.0314,109.75
24,99.70,90.33,1.1278,110.27
25,99.30,89.83,2.6395,110.35
26,99.17,91.00,2.8119,110.08
