Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,76.87,87.06,132.7698,332.42
2,87.94,92.61,79.6124,333.13
3,90.87,88.33,62.3407,332.54
4,92.69,93.94,50.8895,333.56
5,94.51,91.89,40.7082,332.79
6,95.12,93.61,34.9307,332.41
7,95.06,93.50,35.3291,333.16
8,95.66,94.56,32.7139,332.60
9,96.27,94.44,28.0084,333.19
10,96.41,94.61,27.7532,332.83
11,97.04,95.17,22.5970,332.51
12,96.23,94.72,27.8230,333.33
13,97.04,94.72,22.2358,332.18
14,97.08,95.33,22.8800,332.45
15,97.57,95.94,19.0936,331.68
16,97.61,94.33,19.0164,332.19
17,97.51,94.00,18.6999,333.32
18,97.98,95.33,16.7730,331.93
19,97.89,94.94,17.2018,332.08
