Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,66.16,73.06,344.4185,323.71
2,76.16,80.22,165.0500,325.32
3,80.96,82.56,121.5883,324.21
4,83.94,86.00,102.4136,324.90
5,85.56,85.89,92.7145,324.01
6,88.29,87.11,77.5532,326.15
7,89.73,89.56,70.1771,325.14
8,90.48,90.00,64.6015,324.92
9,91.07,90.06,61.5639,324.13
10,92.42,89.50,50.9332,326.29
11,92.59,90.72,52.6832,325.10
12,93.70,90.56,44.0735,325.23
13,94.19,90.50,41.6516,326.48
14,94.41,90.11,40.0423,323.70
15,94.53,91.22,40.0121,330.66
16,94.87,91.39,36.4496,323.02
17,95.33,90.67,35.2787,323.66
18,95.60,91.78,31.5553,322.48
19,96.01,91.50,28.6625,322.40
20,95.93,91.39,29.3555,321.99
21,96.12,92.17,28.3294,323.28
22,96.07,92.00,27.9117,323.40
23,96.62,91.94,25.8414,323.68
24,97.09,93.00,22.4985,322.88
25,96.17,92.39,27.0053,321.70
26,96.82,92.94,23.0396,322.62
27,96.98,91.06,22.7128,322.57
28,97.31,91.89,20.8346,321.99
