Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,66.70,74.00,126.2071,22.08
2,86.03,75.67,34.5294,22.03
3,92.97,76.67,16.6691,22.14
4,95.03,79.33,12.5057,21.57
5,96.47,79.00,8.6031,20.90
6,96.90,80.00,7.5630,22.18
7,97.93,81.00,5.5969,21.90
8,98.87,81.33,3.0228,21.83
9,98.90,81.17,3.4777,21.86
10,98.93,81.17,3.1422,21.25
11,98.67,81.50,2.7369,21.80
12,98.73,82.50,3.2394,21.44
13,99.00,84.17,2.4273,21.18
14,99.23,81.00,2.6523,20.89
15,98.97,82.50,2.6896,20.59
16,99.27,82.83,2.2786,21.43
17,99.40,83.17,1.9483,21.52
