Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,49.70,50.00,205.0694,132.37
2,55.32,60.83,191.0296,132.29
3,68.98,79.06,162.2584,132.50
4,81.48,88.33,110.8973,132.62
5,92.28,95.00,54.3021,132.63
6,96.28,94.44,29.4797,132.59
7,97.41,95.89,20.7343,132.83
8,98.51,96.22,11.8799,132.92
9,98.53,95.78,11.7718,132.51
10,98.62,96.33,10.6960,132.55
11,99.00,96.06,7.9787,132.55
12,99.12,95.39,7.0420,132.72
13,99.22,96.67,6.2183,132.44
14,99.04,95.94,7.9359,132.70
15,99.61,96.50,3.2674,132.45
16,99.70,96.22,2.4575,132.70
17,99.51,95.56,3.9879,132.81
