Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,76.89,84.72,224.7036,59.14
2,89.97,88.22,72.9241,59.57
3,93.92,88.78,42.5525,59.38
4,96.28,89.61,28.6340,59.64
5,97.67,89.72,18.6474,59.57
6,98.01,90.50,15.7629,58.35
7,98.27,90.22,13.5118,59.68
8,98.54,90.83,12.0660,63.05
9,98.63,90.50,10.1740,59.56
10,99.06,91.33,7.7456,61.07
11,98.91,90.39,8.0062,61.86
12,98.97,91.17,9.0300,60.30
13,99.02,91.28,8.2025,60.27
14,98.92,92.28,8.7074,60.50
15,98.68,92.61,9.4389,61.26
16,99.23,91.00,6.1809,60.22
17,99.17,91.89,6.3450,59.68
18,99.18,92.17,6.8065,60.07
19,99.41,89.78,4.9905,58.87
