Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,72.33,88.50,148.0386,130.84
2,92.32,95.00,54.7308,130.81
3,95.57,94.56,35.2393,130.39
4,97.12,95.06,23.3353,130.47
5,97.63,91.28,18.4167,130.52
6,98.44,96.11,14.0194,130.55
7,98.81,96.67,10.7588,130.45
8,99.22,95.17,6.6906,130.67
9,99.21,96.44,6.1253,130.83
10,99.39,97.22,5.9685,130.22
11,99.69,97.39,3.0565,130.49
12,100.00,97.44,0.0282,135.87
13,100.00,97.39,0.0035,130.76
14,100.00,97.39,0.0023,130.37
15,100.00,97.39,0.0017,130.78
16,100.00,97.39,0.0012,130.69
