Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,76.16,86.11,450.8656,58.94
2,86.53,89.50,198.0461,59.07
3,90.24,91.06,133.7744,59.46
4,92.99,92.22,102.4950,59.92
5,94.21,91.94,84.6954,59.61
6,95.73,92.67,61.3101,59.39
7,96.42,93.56,51.2732,59.69
8,96.73,92.89,49.8032,59.86
9,97.49,93.83,39.3462,59.91
10,97.79,93.61,32.2427,58.66
11,98.10,94.00,29.5593,59.18
12,98.29,94.11,28.4757,59.99
13,98.33,94.17,25.2376,58.92
14,98.32,94.06,25.9540,59.22
15,98.52,95.44,22.6454,60.00
16,98.52,94.78,22.8945,59.13
17,98.84,94.72,18.7465,59.34
18,99.04,95.00,15.7505,59.27
19,98.87,94.50,18.3833,58.66
