Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,88.26,93.61,154.6934,119.71
2,95.09,94.06,76.1642,119.41
3,96.82,95.94,50.1547,119.28
4,98.01,94.44,32.0393,119.75
5,98.04,96.00,33.7214,119.47
6,98.73,96.11,19.5172,119.77
7,99.07,96.56,15.9698,119.34
8,98.77,95.39,19.5096,119.44
9,98.91,96.72,18.4876,119.63
10,99.36,96.00,10.4711,119.56
11,99.13,95.56,14.1188,119.61
12,99.21,97.17,13.0915,120.03
13,99.44,94.89,9.6869,119.78
14,99.23,95.44,11.1563,119.42
15,99.40,96.00,8.9763,119.41
16,99.42,92.33,9.4439,119.54
