Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,71.14,79.50,311.4242,78.35
2,84.92,84.06,197.6898,78.23
3,89.79,84.78,135.5439,77.61
4,93.18,86.28,99.3275,77.34
5,94.79,86.11,75.9385,77.83
6,96.23,85.94,58.2263,78.46
7,96.81,86.44,50.1555,78.66
8,97.60,86.78,41.2544,78.09
9,97.40,84.44,42.3757,78.01
10,97.88,86.50,36.0867,77.84
11,98.47,87.39,28.2576,77.77
12,98.46,87.72,28.1183,79.30
13,98.64,87.39,24.1312,78.57
14,98.67,86.56,24.6185,78.62
15,98.50,86.78,25.0261,77.91
16,99.14,86.78,16.9545,77.57
