Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,68.24,73.89,514.2620,71.31
2,82.87,80.28,223.8485,71.18
3,89.78,82.56,143.8148,71.12
4,92.17,83.89,111.0889,71.17
5,94.01,85.39,86.4693,71.32
6,94.77,86.39,79.8807,71.52
7,95.57,85.83,66.7543,71.54
8,96.04,84.83,60.6816,71.52
9,96.60,87.22,53.3379,71.39
10,96.84,88.22,48.6076,71.48
11,97.29,88.28,46.3861,71.39
12,97.69,89.50,36.4304,71.58
13,98.04,88.61,31.9884,71.49
14,98.22,90.33,29.5110,71.52
15,98.28,89.72,33.0054,71.43
16,98.08,90.11,32.0866,71.25
17,98.31,89.56,29.1956,72.36
18,98.79,89.50,20.9632,71.31
