Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,72.47,79.83,217.8066,18.16
2,86.87,80.33,70.2947,17.92
3,89.73,83.33,51.2781,17.71
4,93.07,83.33,36.3458,17.53
5,93.93,82.50,31.5250,17.53
6,95.13,83.67,23.7834,17.41
7,95.37,84.50,23.3851,17.53
8,96.37,84.17,19.0389,17.43
9,96.93,84.33,14.9149,17.56
10,97.10,86.50,15.7380,17.99
11,97.07,84.50,16.4814,17.90
12,97.77,84.50,13.3849,17.63
13,97.47,86.50,14.9629,17.51
14,97.57,87.00,13.6621,17.63
15,97.30,86.67,14.9160,17.42
16,98.37,86.33,9.0002,17.77
17,97.87,88.17,12.9196,17.44
18,97.80,86.00,12.1080,17.65
19,98.37,87.83,10.9453,17.47
20,98.63,89.00,7.4307,18.21
21,98.93,87.50,5.7123,17.81
22,98.13,87.17,11.7006,18.09
23,98.63,88.50,7.5001,18.32
24,99.23,87.67,3.7562,18.55
