Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,68.48,79.78,567.2440,113.77
2,82.37,84.78,230.1746,112.74
3,87.96,85.72,159.5292,113.13
4,90.90,87.61,127.6433,114.03
5,92.14,89.11,107.6708,113.78
6,93.74,88.06,87.5692,112.53
7,94.72,89.67,75.5094,113.06
8,95.52,89.89,66.4534,113.96
9,95.97,89.83,58.2926,113.95
10,96.51,89.72,53.9648,112.13
11,96.69,90.06,49.9713,112.11
12,97.33,89.89,41.1484,112.81
13,97.19,90.22,42.3767,114.20
14,97.29,89.94,41.0179,113.69
15,97.03,91.39,44.3409,112.77
16,98.21,92.33,29.0565,113.98
17,98.04,90.94,33.2788,113.70
18,98.06,91.89,29.8060,114.12
19,98.08,91.11,29.9360,112.74
20,98.57,91.22,23.4169,112.54
