Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,72.66,81.00,499.1110,120.55
2,86.51,85.22,188.6947,119.94
3,91.48,87.89,118.4644,120.07
4,94.00,89.17,87.4023,119.70
5,95.23,90.28,73.9766,120.45
6,96.20,88.44,57.1087,120.45
7,96.68,92.72,51.0638,120.29
8,97.18,93.22,43.3196,120.97
9,97.46,93.11,42.4831,121.09
10,97.48,92.11,41.9871,120.57
11,97.72,92.44,36.5632,120.28
12,98.34,93.89,27.8605,121.11
13,98.12,90.94,29.7091,121.21
14,98.01,94.11,35.2680,120.24
15,98.80,94.33,21.1056,119.86
16,99.04,94.22,17.6009,120.35
17,99.07,94.44,14.8408,120.47
18,98.80,93.89,22.2748,120.15
19,98.99,94.00,17.6850,120.93
20,98.18,94.17,35.6805,120.43
21,99.08,95.39,15.7322,120.48
22,99.24,95.72,14.9221,120.03
23,99.40,94.17,10.6475,120.59
24,99.53,94.50,9.4503,120.54
25,99.01,94.67,17.1063,120.59
26,99.09,95.06,16.8194,120.62
