Epoche,Train-Acc,Val-Acc,Loss,Epoch-Zeit (s)
1,83.29,92.94,100.9654,161.24
2,94.90,91.00,38.0565,161.80
3,97.31,94.00,21.5900,161.36
4,98.09,95.22,15.8738,161.17
5,97.61,92.50,19.3876,161.56
6,98.52,95.33,13.2598,161.16
7,98.54,93.67,12.5507,161.39
8,98.60,94.33,10.8122,161.77
9,99.03,93.56,8.0633,161.50
10,99.03,95.44,8.9545,161.44
11,98.86,95.56,11.1325,161.68
12,99.19,95.17,7.8652,161.27
13,99.49,95.94,6.6116,161.24
14,99.51,95.78,4.8775,161.73
15,99.30,96.22,5.8843,161.26
16,99.40,96.56,6.7369,161.48
17,99.57,96.50,4.1281,161.78
18,99.46,96.50,5.0763,161.38
19,99.44,96.06,5.6752,161.30
20,99.53,96.39,5.8599,161.33
