model,all_table_keys,meta_values,score,params
RFC,False,True,0.9944444444444445,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'oob_score': True}"
LR,False,True,0.9944444444444445,"{'C': 100, 'class_weight': None, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}"
GBC,False,True,0.9925925925925926,"{'learning_rate': 0.01, 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 1.0}"
RFC,True,True,0.9944444444444445,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'max_features': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'oob_score': False}"
LR,True,True,0.9944444444444445,"{'C': 0.01, 'class_weight': None, 'max_iter': 200, 'penalty': None, 'solver': 'saga'}"
GBC,True,True,0.9925925925925926,"{'learning_rate': 0.01, 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 1.0}"
RFC,False,False,0.9944444444444442,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'oob_score': True}"
LR,False,False,0.9981481481481481,"{'C': 0.01, 'class_weight': None, 'max_iter': 100, 'penalty': None, 'solver': 'lbfgs'}"
GBC,False,False,0.9925925925925926,"{'learning_rate': 0.05, 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.7}"
RFC,True,False,0.9944444444444445,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 1, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300, 'oob_score': True}"
LR,True,False,0.9962962962962962,"{'C': 0.01, 'class_weight': None, 'max_iter': 100, 'penalty': None, 'solver': 'newton-cg'}"
GBC,True,False,0.9925925925925926,"{'learning_rate': 0.05, 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.7}"
